# SYNTHETIC DATA - generated for practice, not real statistics. Never cite these numbers. Real figures: Department of Census and Statistics, or the Central Bank of Sri Lanka Annual Economic Review.
district,province,year,population,schools,internet_users_pct,households,avg_monthly_income_lkr
Jaffna,Northern,2023,2429873,706,31.2,626672,72153
Jaffna,Northern,2024,2446773,712,37.0,589817,65328
Jaffna,Northern,2025,2463790,716,35.2,593669,75951
Kilinochchi,Northern,2021,836433,209,61.0,210857,69980
Kilinochchi,Northern,2022,846091,213,64.2,203564,76310
Kilinochchi,Northern,2023,855862,209,64.6,232545,74618
Kilinochchi,Northern,2024,865745,200,68.8,213459,87876
Kilinochchi,Northern,2025,875742,205,69.5,217307,86777
Mannar,Northern,2021,1821025,755,35.7,497242,79598
Mannar,Northern,2022,1839496,759,39.4,427889,86162
Mannar,Northern,2023,1858155,747,39.8,440705,87590
Mannar,Northern,2024,1877003,746,43.5,506463,104588
Mannar,Northern,2025,1896042,755,45.5,448101,105224
Vavuniya,Northern,2021,2224802,226,23.1,586610,70378
Vavuniya,Northern,2022,2264614,223,25.1,600809,75800
Vavuniya,Northern,2023,2305138,240,31.7,602869,82261
Vavuniya,Northern,2024,2346388,226,27.7,573791,96025
Vavuniya,Northern,2025,2388376,218,38.4,595368,85043
Mullaitivu,Northern,2021,306246,197,61.1,71269,45267
Mullaitivu,Northern,2022,308710,193,64.6,80406,49113
Mullaitivu,Northern,2023,311194,191,65.0,77855,50454
Mullaitivu,Northern,2024,313698,212,67.1,76450,59078
Mullaitivu,Northern,2025,316222,221,69.0,83909,68561
Batticaloa,Eastern,2021,596041,883,28.1,150874,93696
Batticaloa,Eastern,2022,600890,886,32.3,165222,101789
Batticaloa,Eastern,2023,605779,897,36.8,161789,114421
Batticaloa,Eastern,2024,610708,883,36.3,152643,110570
Batticaloa,Eastern,2025,615676,915,45.9,163890,121121
Ampara,Eastern,2021,480817,650,20.8,113644,63710
Ampara,Eastern,2022,486323,650,24.8,113922,68710
Ampara,Eastern,2023,491893,652,24.5,123494,71561
Ampara,Eastern,2024,497526,674,29.0,137456,81213
Ampara,Eastern,2025,503224,666,27.7,127586,93755
Trincomalee,Eastern,2021,1648933,202,23.3,405147,95494
Trincomalee,Eastern,2022,1660583,210,26.0,434312,105393
Trincomalee,Eastern,2023,1672316,198,29.7,453683,103248
Trincomalee,Eastern,2024,1684132,220,30.2,419352,111493
Trincomalee,Eastern,2025,1696032,206,32.7,457650,139257
Kurunegala,North Western,2021,470382,452,60.9,124755,69820
Kurunegala,North Western,2022,476247,454,64.9,114381,73147
Kurunegala,North Western,2023,482185,452,64.6,117788,83181
Kurunegala,North Western,2024,488197,470,70.6,115844,78372
Kurunegala,North Western,2025,494284,468,68.9,123102,92522
Puttalam,North Western,2021,434155,690,23.3,110847,76439
Puttalam,North Western,2022,440462,699,26.8,102849,84843
Puttalam,North Western,2023,446862,700,32.3,114511,91638
Puttalam,North Western,2024,453355,711,30.0,125671,94366
Puttalam,North Western,2025,459941,682,37.0,126720,89125
Anuradhapura,North Central,2021,1764349,257,27.0,440523,74626
Anuradhapura,North Central,2022,1785483,266,29.2,432837,79008
Anuradhapura,North Central,2023,1806871,271,34.4,421477,91781
Anuradhapura,North Central,2024,1828515,284,32.7,459385,93898
Anuradhapura,North Central,2025,1850419,257,43.2,503792,111017
Polonnaruwa,North Central,2021,909509,607,23.4,238054,57102
Polonnaruwa,North Central,2022,915004,610,25.1,208974,62357
Polonnaruwa,North Central,2023,920533,607,32.1,234032,65784
Polonnaruwa,North Central,2024,926096,634,35.8,216147,64521
Polonnaruwa,North Central,2025,931692,623,36.3,248802,72749
Badulla,Uva,2021,1015646,824,45.3,256643,51812
Badulla,Uva,2022,1022529,832,49.3,268413,57259
Badulla,Uva,2023,1029458,830,52.1,250357,62665
Badulla,Uva,2024,1036435,824,50.8,276499,58654
Badulla,Uva,2025,1043459,848,61.7,252668,75976
Monaragala,Uva,2021,1198567,779,47.4,303187,87668
Monaragala,Uva,2022,1207670,786,49.1,279209,96203
Monaragala,Uva,2023,1216843,785,51.7,280807,103757
Monaragala,Uva,2024,1226086,770,55.1,296744,110090
Monaragala,Uva,2025,1235398,795,64.7,283965,112888
Ratnapura,Sabaragamuwa,2021,860336,429,31.1,220330,56098
Ratnapura,Sabaragamuwa,2022,875567,433,35.4,221178,60196
Ratnapura,Sabaragamuwa,2023,891068,421,39.4,239804,67971
Ratnapura,Sabaragamuwa,2024,906843,426,36.5,218337,62015
Ratnapura,Sabaragamuwa,2025,922898,453,48.0,239677,67876
Kegalle,Sabaragamuwa,2021,966923,349,42.6,223526,74942
Kegalle,Sabaragamuwa,2022,974785,358,44.8,237795,77908
Kegalle,Sabaragamuwa,2023,982712,347,49.0,255379,82469
Kegalle,Sabaragamuwa,2024,990704,367,47.6,230637,90473
Kegalle,Sabaragamuwa,2025,998760,365,57.1,242560,87633
Colombo,Western,2024,602928,323,66.9,139087,111656
